Devcon Communities
4Seas
852dev
A1 Road DAO LLC.
AI Fusion Labs
APAC DAO
APU Blockchain & Cryptocurrency Club
atato
Bhopal DAO
Block dev ID
Contribution DAO
DappLearning
DeSci Thailand
Devcon Team - Ethereum Foundation
Digicnx
Elixir Tech Community
Eth Penang
ETH63
ETHShanghai
FOSSASIA
Funding the Commons
GDSC VIT Chennai
Good Blockchain Society
Hack the League
Hack4Bengal
Hyper Oracle
Invisible Garden
Kerala Blockchain Academy
Nad DAO
Nouns Running Club
Open Build
Pagoda
Pintu
Plurality Tokyo
Prayagraj Tech Community
ProgCrypto SG
Proof Of Ventures
PuneDAO
PYOR
The Phoenix Guild
Today in DeFi
W3FORGE
Web3 Saigon
Web3Chennai
Web3Dev.Community
Web3Kerala
Web3Together
zk Taipei
ZKP Labs
Zo World
ZxStim
