Community Collaborators
0xBlob
Africa Blockchain Club - Universel
Akindo
Antalpha Labs
ArkHaus
ATX Dao
bewater
biteye
Blockchain at Berkeley
Blue Node
Borderless Africa
Buidlers
Code Africa
Cryptist 
CURG
DeNA Hacker House
Developer DAO
Devfolio
EasyA
EdCon
Edge City
Espacio Cripto
ETH Barcelona
ETH Costa Rica
ETH Dam
ETH Denver
ETH Gathering
ETH Japan
ETH Kipu
ETH Lima
ETH Pad Thai
ETH Prague
Eth Samba
ETH Taipei
Eth Volcano
EthBerlin
Ethcon Seoul
Ethereum Argentina
Ethereum Bogota
Ethereum Bolivia
Ethereum France
Ethereum Guatemala
Ethereum Mexico
Ethereum Rio
Ethereum San Pedro Sula
Ethereum Singapore
Ethereum Tegucigalpa
Ethereum Uruguay
ETHGlobal
EthKL
ETHKyiv
EthWarsaw
FranklinDAO / Penn Blockchain
Frutero Club
hackquest
House of ZK
ITU Blockchain
IVS Conference
Jessy’s Hacker House
Kairo Research
L2Beat
LazyOtter 
Ludium
Modular Crypto
Nonce 
​ODTÜ Blockchain
Peanut Protocol
Permissionless
PKU Blockchain Dao
Rise In
SEED Latam
SheFi
Stanford Blockchain
szu blockchain club
TH BUIDL 
the mu
THUBA - Tsinghua University
Troops
TUM Blockchain
Universidad Politecnica Aragua
University of Michigan
USC Blockchain Club
W3BLab
Web3Afrika
Web3Bridge
Web3Samaj
WTF Academy
YTU Blockchain
Zhejiang university blockchain club
zk Bankai
ZK Hack
