Paper Name
Aurora: Transparent Succinct Arguments for R1CS
Bulletproofs: Short Proofs for Confidential Transactions and More
Constant-Size Commitments to Polynomials and Their Applications
Delegating Computation: Interactive Proofs for Muggles
Doubly-efficient zkSNARKs without trusted setup
Efficient Arguments without Short PCPs
Efficient Zero-Knowledge Arguments for Arithmetic Circuits in the Discrete Log Setting
Fast Reed-Solomon Interactive Oracle Proofs of Proximity
Improving logarithmic derivative lookups using GKR
Incrementally Verifiable Computation or Proofs of Knowledge Imply Time/Space Efficiency
Libra: Succinct Zero-Knowledge Proofs with Optimal Prover Computation
Ligero: Lightweight Sublinear Arguments Without a Trusted Setup
Marlin: Preprocessing zkSNARKs with Universal and Updatable SRS
Nearly Linear-Time Zero-Knowledge Proofs for Correct Program Execution
Nova: Recursive Zero-Knowledge Arguments from Folding Schemes
Pinocchio: Nearly Practical Verifiable Computation
PlonK: Permutations over Lagrange-bases for Oecumenical Noninteractive arguments of Knowledge
Practical Verified Computation with Streaming Interactive Proofs
"Proofs, Arguments, and Zero-Knowledge"
Protostar: Generic Efficient Accumulation/Folding for Special-sound Protocols
Proximity Gaps for Reed-Solomon Codes
Quadratic Span Programs and Succinct NIZKs without PCPs
Recursive Composition and Bootstrapping for SNARKs and Proof-Carrying Data
Recursive Proof Composition without a Trusted Setup
Scalable Multi-party Computation for zk-SNARK Parameters in the Random Beacon Model
Scalable Zero Knowledge via Cycles of Elliptic Curves
Short PCPs with Polylog Query Complexity
Sonic: Zero-Knowledge SNARKs from Linear-Size Universal and Updatable Structured Reference Strings
Succinct Arguments over Towers of Binary Fields
Taking proof-based verified computation a few steps closer to practicality
Verifiable Delay Functions
Verifying Computations with Multiply Provers
Verifying computations with state
Verifying Computations with Strreaming Interactive Proofs
vRAM: Faster Verifiable RAM With Program-Independent Preprocessing
Zerocash: Decentralized Anonymous Payments from Bitcoin
